,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
134,37.0,2,1.0,10,5.0,2.0,1.0,2.0,2016.0,1.0,2.0
135,10.0,2,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
136,34.0,2,7.0,22,5.0,3.0,1.0,1.0,2016.0,1.0,1.0
137,40.0,1,1.0,22,5.0,2.0,1.0,1.0,2016.0,1.0,1.0
138,34.0,2,1.0,22,4.0,2.0,1.0,1.0,2016.0,1.0,1.0
139,11.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
140,30.0,2,4.0,18,5.0,1.0,2.0,1.0,2017.0,1.0,1.0
141,27.0,2,4.0,18,6.0,1.0,2.0,1.0,2017.0,1.0,1.0
142,61.0,2,5.0,18,5.0,1.0,2.0,1.0,2017.0,1.0,3.0
143,37.0,1,7.0,97,1.0,3.0,1.0,2.0,2017.0,1.0,2.0
144,33.0,1,4.0,6,6.0,3.0,2.0,1.0,2015.0,1.0,1.0
145,21.0,2,4.0,9,2.0,1.0,1.0,1.0,2015.0,2.0,1.0
146,57.0,2,2.0,9,5.0,3.0,1.0,1.0,2015.0,2.0,2.0
147,36.0,1,4.0,9,97.0,2.0,2.0,1.0,2014.0,2.0,1.0
148,18.0,2,4.0,3,5.0,1.0,1.0,1.0,2018.0,1.0,3.0
149,14.0,2,2.5008455467869224,3,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
150,32.0,1,4.0,3,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
151,16.0,2,4.0,3,2.0,1.0,1.0,1.0,2018.0,1.0,3.0
152,40.0,2,3.0,3,5.0,2.0,1.0,1.0,2018.0,1.0,1.0
153,4.0,2,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
154,5.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
155,30.0,1,1.0,22,4.0,3.0,1.0,1.0,2018.0,2.0,1.0
156,0.0,2,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
157,33.0,2,7.0,22,6.0,1.0,1.0,1.0,2018.0,2.0,3.0
158,18.0,2,4.0,6,2.0,2.0,1.0,2.0,2016.0,2.0,3.0
159,59.0,2,5.0,6,2.0,2.0,1.0,1.0,2016.0,2.0,2.0
160,22.0,2,4.0,6,5.0,2.0,1.0,2.0,2016.0,2.0,1.0
161,14.0,2,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
162,58.0,2,2.0,3,2.0,2.0,1.0,1.0,2017.0,1.0,1.0
163,75.0,1,5.0,10,5.0,3.0,2.0,1.0,2014.0,1.0,3.0
164,55.0,1,4.0,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
165,20.0,1,4.0,6,1.0,3.0,2.0,1.0,2018.0,1.0,2.0
166,51.0,2,5.0,6,1.0,3.0,1.0,2.0,2018.0,1.0,2.0
167,16.0,1,4.0,6,1.0,2.0,2.0,2.0,2018.0,1.0,3.0
168,23.0,1,4.0,6,2.0,2.0,2.0,1.0,2018.0,1.0,2.0
169,44.0,2,1.0,97,5.0,3.0,1.0,2.0,2018.0,1.0,3.0
170,15.0,2,4.0,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
171,17.0,2,4.0,97,2.0,2.0,2.0,1.0,2018.0,1.0,3.0
172,19.0,2,4.0,97,5.0,2.0,2.0,1.0,2018.0,1.0,3.0
173,47.0,1,1.0,97,4.0,3.0,1.0,1.0,2018.0,1.0,1.0
174,54.0,2,2.0,10,5.0,2.0,1.0,2.0,2016.0,1.0,3.0
175,37.0,1,1.0,10,6.0,1.0,1.0,1.0,2016.0,1.0,1.0
176,30.0,2,1.0,10,5.0,1.0,1.0,6.0,2016.0,1.0,2.0
177,75.0,2,5.0,6,1.0,4.0,1.0,1.0,2017.0,1.0,3.0
178,32.0,2,1.0,6,1.0,3.0,1.0,2.0,2017.0,1.0,1.0
179,38.0,1,1.0,6,1.0,4.0,1.0,1.0,2017.0,1.0,1.0
180,20.0,2,4.0,18,2.0,1.0,1.0,2.0,2016.0,1.0,2.0
181,22.0,2,7.0,18,5.0,1.0,1.0,2.0,2016.0,1.0,3.0
182,17.0,1,4.0,18,2.0,1.0,1.0,2.0,2016.0,1.0,3.0
183,49.0,1,1.0,18,6.0,3.0,1.0,2.0,2016.0,1.0,1.0
184,42.0,2,1.0,18,5.0,3.0,1.0,2.0,2016.0,1.0,3.0
185,18.0,1,4.0,6,1.0,2.0,2.0,2.0,2018.0,1.0,3.0
186,45.0,2,5.0,6,1.0,3.0,1.0,2.0,2018.0,1.0,1.0
187,22.0,2,4.0,6,1.0,2.0,2.0,2.0,2018.0,1.0,1.0
188,18.0,2,4.0,6,1.0,3.0,1.0,2.0,2018.0,1.0,3.0
189,25.0,2,4.0,6,1.0,3.0,1.0,2.0,2018.0,2.0,1.0
190,40.0,1,1.0,1,2.0,2.0,1.0,2.0,2016.0,2.0,1.0
191,13.0,1,2.5008455467869224,1,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
